Precinct,Race,Candidate,Total Votes
2033 BS 2,"For Council, City of San Antonio, District 5",,Day
2033 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 18 48.65% 9,3
2033 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 19 51.35% 3,5
2034 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2034 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2034 BS 2,"For Council, City of San Antonio, District 5",,Day
2034 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 13 48.15% 2,7
2034 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 14 51.85% 4,1
2035 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2035 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2035 BS 1,"For Council, City of San Antonio, District 1",,Day
2035 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 106 37.19% 28,17
2035 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 179 62.81% 45,25
2036 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2036 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2036 BS 1,"For Council, City of San Antonio, District 1",,Day
2036 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 178 45.88% 44,29
2036 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 210 54.12% 51,24
2038 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2038 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2038 BS 1,"For Council, City of San Antonio, District 1",,Day
2038 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 81 38.57% 30,11
2038 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 129 61.43% 32,22
2039 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2039 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2039 BS 1,"For Council, City of San Antonio, District 1",,Day
2039 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 117 63.59% 53,14
2039 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 67 36.41% 25,11
2048 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2048 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2048 BS 1,"For Council, City of San Antonio, District 1",,Day
2048 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 47 46.53% 18,5
2048 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 54 53.47% 19,8
2051 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2051 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2051 BS 1,"For Council, City of San Antonio, District 1",,Day
2051 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 18 42.86% 5,5
2051 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 24 57.14% 6,2
2052 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2052 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2052 BS 1,"For Council, City of San Antonio, District 1",,Day
2052 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 31 50.00% 15,3
2052 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 31 50.00% 11,3
2053 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2053 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2053 BS 1,"For Council, City of San Antonio, District 1",,Day
2053 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 46 43.81% 16,6
2053 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 59 56.19% 15,13
2054 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2054 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2054 BS 1,"For Council, City of San Antonio, District 1",,Day
2054 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 124 45.26% 55,10
2054 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 150 54.74% 52,32
2055 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2055 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2055 BS 1,"For Council, City of San Antonio, District 1",,Day
2055 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 86 54.78% 33,10
2055 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 71 45.22% 22,16
2056 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2056 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2056 BS 1,"For Council, City of San Antonio, District 1",,Day
2056 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 77 53.47% 28,11
2056 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 67 46.53% 23,12
2057 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2057 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2057 BS 1,"For Council, City of San Antonio, District 1",,Day
2057 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 63 50.81% 31,11
2057 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 61 49.19% 13,21
2058 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2058 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2058 BS 1,"For Council, City of San Antonio, District 1",,Day
2058 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 89 55.97% 36,16
2058 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 70 44.03% 27,13
2059 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2059 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2059 BS 1,"For Council, City of San Antonio, District 1",,Day
2059 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 117 51.77% 39,11
2059 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 109 48.23% 36,27
2062 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2062 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2062 BS 1,"For Council, City of San Antonio, District 1",,Day
2062 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 160 76.19% 31,17
2062 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 50 23.81% 10,12
2064 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2064 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2064 BS 1,"For Council, City of San Antonio, District 1",,Day
2064 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 265 75.28% 80,24
2064 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 87 24.72% 22,26
2067 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2067 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2067 BS 1,"For Council, City of San Antonio, District 1",,Day
2067 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 22 57.89% 10,7
2067 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 16 42.11% 4,1
2070 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2070 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2070 BS 2,"For Council, City of San Antonio, District 5",,Day
2070 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 94 50.54% 29,23
2070 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 92 49.46% 31,31
2071 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2071 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2071 BS 2,"For Council, City of San Antonio, District 5",,Day
2071 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 24 48.00% 4,4
2071 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 26 52.00% 8,7
2073 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2073 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2073 BS 1,"For Council, City of San Antonio, District 1",,Day
2073 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 91 64.54% 31,19
2073 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 50 35.46% 5,14
2074 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2074 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2074 BS 2,"For Council, City of San Antonio, District 5",,Day
2074 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 14 48.28% 4,4
2074 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 15 51.72% 4,6
2075 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2075 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2075 BS 1,"For Council, City of San Antonio, District 1",,Day
2075 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 23 57.50% 6,4
2075 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 17 42.50% 4,3
2079 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2079 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2079 BS 2,"For Council, City of San Antonio, District 5",,Day
2079 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 31 77.50% 8,7
2079 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 9 22.50% 2,2
2080 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2080 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2080 BS 1,"For Council, City of San Antonio, District 1",,Day
2080 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 58 61.70% 18,9
2080 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 36 38.30% 14,9
2082 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2082 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2082 BS 1,"For Council, City of San Antonio, District 1",,Day
2082 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 87 54.72% 48,6
2082 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 72 45.28% 20,26
2085 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2085 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2085 BS 1,"For Council, City of San Antonio, District 1",,Day
2085 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 163 76.53% 46,13
2085 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 50 23.47% 12,14
2089 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2089 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2089 BS 2,"For Council, City of San Antonio, District 5",,Day
2089 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 13 59.09% 2,3
2089 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 9 40.91% 2,4
2092 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2092 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2092 BS 1,"For Council, City of San Antonio, District 1",,Day
2092 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 17 60.71% 5,1
2092 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 11 39.29% 7,0
2094 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2094 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2094 BS 1,"For Council, City of San Antonio, District 1",,Day
2094 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 16 66.67% 4,5
2094 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 8 33.33% 2,3
2100 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2100 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2100 BS 1,"For Council, City of San Antonio, District 1",,Day
2100 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 84 74.34% 22,11
2100 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 29 25.66% 9,10
2103 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2103 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2103 BS 2,"For Council, City of San Antonio, District 5",,Day
2103 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 2 33.33% 0,1
2103 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 4 66.67% 0,0
2104 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2104 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2104 BS 1,"For Council, City of San Antonio, District 1",,Day
2104 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 13 59.09% 4,2
2104 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 9 40.91% 2,4
2105 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2105 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2105 BS 2,"For Council, City of San Antonio, District 5",,Day
2105 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 29 64.44% 11,8
2105 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 16 35.56% 2,6
2109 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2109 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2109 BS 1,"For Council, City of San Antonio, District 1",,Day
2109 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 0 0,0
2109 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0,0
2110 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2110 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2110 BS 1,"For Council, City of San Antonio, District 1",,Day
2110 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 80 63.49% 24,15
2110 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 46 36.51% 10,17
2114 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2114 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2114 BS 1,"For Council, City of San Antonio, District 1",,Day
2114 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 81 50.31% 25,24
2114 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 80 49.69% 13,19
2116 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2116 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2116 BS 1,"For Council, City of San Antonio, District 1",,Day
2116 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 0 0,0
2116 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0,0
2117 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2117 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2117 BS 2,"For Council, City of San Antonio, District 5",,Day
2117 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 45 76.27% 15,9
2117 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 14 23.73% 1,5
2118 BS 2,"For Council, City of San Antonio, District 5",Vote,For
2118 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
2118 BS 2,"For Council, City of San Antonio, District 5",,Day
2118 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 1 33.33% 1,0
2118 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 2 66.67% 0,1
2121 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2121 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2121 BS 1,"For Council, City of San Antonio, District 1",,Day
2121 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 17 65.38% 5,2
2121 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 9 34.62% 1,0
2129 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2129 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2129 BS 1,"For Council, City of San Antonio, District 1",,Day
2129 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 0 0,0
2129 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0,0
2131 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2131 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2131 BS 1,"For Council, City of San Antonio, District 1",,Day
2131 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 10 52.63% 5,2
2131 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 9 47.37% 2,2
2132 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2132 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2132 BS 1,"For Council, City of San Antonio, District 1",,Day
2132 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 0 0,0
2132 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0,0
2135 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2135 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2135 BS 1,"For Council, City of San Antonio, District 1",,Day
2135 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 17 50.00% 6,1
2135 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 17 50.00% 7,7
2137 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2137 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2137 BS 1,"For Council, City of San Antonio, District 1",,Day
2137 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 75 51.02% 21,9
2137 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 72 48.98% 20,22
2138 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2138 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2138 BS 1,"For Council, City of San Antonio, District 1",,Day
2138 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 38 40.43% 13,6
2138 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 56 59.57% 20,9
2144 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2144 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2144 BS 1,"For Council, City of San Antonio, District 1",,Day
2144 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 92 42.99% 40,8
2144 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 122 57.01% 31,27
2150 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2150 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2150 BS 1,"For Council, City of San Antonio, District 1",,Day
2150 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 0 0,0
2150 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0,0
2152 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2152 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2152 BS 1,"For Council, City of San Antonio, District 1",,Day
2152 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 14 36.84% 4,2
2152 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 24 63.16% 7,10
2155 BS 1,"For Council, City of San Antonio, District 1",Vote,For
2155 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
2155 BS 1,"For Council, City of San Antonio, District 1",,Day
2155 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 0 0,0
2155 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0,0
3001 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3001 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3001 BS 5,"For Council, City of San Antonio, District 9",,Day
3001 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 237 46.47% 82,29
3001 BS 5,"For Council, City of San Antonio, District 9",John Courage 273 53.53% 46,81
3004 BS 1,"For Council, City of San Antonio, District 1",Vote,For
3004 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
3004 BS 1,"For Council, City of San Antonio, District 1",,Day
3004 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 0 0,0
3004 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 0 0,0
3005 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3005 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3005 BS 5,"For Council, City of San Antonio, District 9",,Day
3005 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 0 0,0
3005 BS 5,"For Council, City of San Antonio, District 9",John Courage 0 0,0
3006 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3006 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3006 BS 5,"For Council, City of San Antonio, District 9",,Day
3006 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 99 39.76% 49,5
3006 BS 5,"For Council, City of San Antonio, District 9",John Courage 150 60.24% 41,38
3007 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3007 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3007 BS 5,"For Council, City of San Antonio, District 9",,Day
3007 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 234 53.55% 46,12
3007 BS 5,"For Council, City of San Antonio, District 9",John Courage 203 46.45% 51,21
3011 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3011 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3011 BS 5,"For Council, City of San Antonio, District 9",,Day
3011 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 67 28.15% 26,13
3011 BS 5,"For Council, City of San Antonio, District 9",John Courage 171 71.85% 44,46
3014 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3014 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3014 BS 5,"For Council, City of San Antonio, District 9",,Day
3014 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 44 44.44% 24,4
3014 BS 5,"For Council, City of San Antonio, District 9",John Courage 55 55.56% 19,11
3030 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3030 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3030 BS 5,"For Council, City of San Antonio, District 9",,Day
3030 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 221 41.31% 75,12
3030 BS 5,"For Council, City of San Antonio, District 9",John Courage 314 58.69% 93,58
3031 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3031 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3031 BS 5,"For Council, City of San Antonio, District 9",,Day
3031 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 2 33.33% 2,0
3031 BS 5,"For Council, City of San Antonio, District 9",John Courage 4 66.67% 1,1
3033 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3033 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3033 BS 5,"For Council, City of San Antonio, District 9",,Day
3033 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 135 46.08% 31,20
3033 BS 5,"For Council, City of San Antonio, District 9",John Courage 158 53.92% 29,46
3039 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3039 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3039 BS 5,"For Council, City of San Antonio, District 9",,Day
3039 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 0 0,0
3039 BS 5,"For Council, City of San Antonio, District 9",John Courage 0 0,0
3042 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3042 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3042 BS 5,"For Council, City of San Antonio, District 9",,Day
3042 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 186 49.60% 72,7
3042 BS 5,"For Council, City of San Antonio, District 9",John Courage 189 50.40% 46,37
3044 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3044 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3044 BS 5,"For Council, City of San Antonio, District 9",,Day
3044 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 113 43.13% 41,5
3044 BS 5,"For Council, City of San Antonio, District 9",John Courage 149 56.87% 41,28
3045 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3045 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3045 BS 5,"For Council, City of San Antonio, District 9",,Day
3045 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 153 45.95% 41,12
3045 BS 5,"For Council, City of San Antonio, District 9",John Courage 180 54.05% 34,38
3052 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3052 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3052 BS 5,"For Council, City of San Antonio, District 9",,Day
3052 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 340 57.63% 123,19
3052 BS 5,"For Council, City of San Antonio, District 9",John Courage 250 42.37% 82,34
3053 BS 1,"For Council, City of San Antonio, District 1",Vote,For
3053 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
3053 BS 1,"For Council, City of San Antonio, District 1",,Day
3053 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 96 48.48% 29,38
3053 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 102 51.52% 8,51
3059 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3059 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3059 BS 5,"For Council, City of San Antonio, District 9",,Day
3059 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 156 66.95% 75,9
3059 BS 5,"For Council, City of San Antonio, District 9",John Courage 77 33.05% 21,18
3062 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3062 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3062 BS 5,"For Council, City of San Antonio, District 9",,Day
3062 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 2 33.33% 1,0
3062 BS 5,"For Council, City of San Antonio, District 9",John Courage 4 66.67% 0,3
3063 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3063 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3063 BS 5,"For Council, City of San Antonio, District 9",,Day
3063 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 149 34.81% 55,15
3063 BS 5,"For Council, City of San Antonio, District 9",John Courage 279 65.19% 80,55
3064 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3064 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3064 BS 5,"For Council, City of San Antonio, District 9",,Day
3064 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 34 36.17% 15,3
3064 BS 5,"For Council, City of San Antonio, District 9",John Courage 60 63.83% 19,12
3066 BS 5,"For Council, City of San Antonio, District 9",Vote,For
3066 BS 5,"For Council, City of San Antonio, District 9",TOTAL VOTE % Election,Absentee
3066 BS 5,"For Council, City of San Antonio, District 9",,Day
3066 BS 5,"For Council, City of San Antonio, District 9",Patrick Von Dohlen 163 37.47% 48,12
3066 BS 5,"For Council, City of San Antonio, District 9",John Courage 272 62.53% 56,54
3068 BS 5,"For Council, City of San Antonio, District 9",Vote,For
